ExperimentalCondition,Head Horizontal,Head Vertical,Eye Horizontal,Eye Vertical,SuccessfulCompletion,Steering,Time,Event
HUDOnly,0.9550881385803224,0.268755555152893,0.9867587089538574,-0.1300164014101028,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9848834872245787,-0.1721697747707367,0.986816704273224,-0.139573723077774,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9980469942092896,0.0160115640610456,0.9670518636703492,-0.1636443883180618,0.0,0.0,-2.00,NoEvent
AudioOnly,0.990462452173233,-0.0016297753900289,0.9862206876277924,-0.1651085093617439,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9987266063690186,-0.0327809629961847,0.9777420163154602,-0.1496766544878482,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9962968826293944,0.006800465285778,0.9882959127426147,-0.1477366834878921,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9952954947948456,0.0778945200145244,0.938320815563202,-0.3457065522670746,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9974966645240784,-0.0170495621860027,0.9773926734924316,-0.1799438446760177,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9833732843399048,-0.1591251939535141,0.9847190380096436,-0.1524582803249359,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9664188027381896,-0.2549998611211777,0.9608007073402404,0.2133615985512733,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9815240502357484,0.1543273031711578,0.9782885909080504,-0.1840070337057113,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9810436367988586,0.071514293551445,0.9916533827781676,-0.1287924498319625,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9974175095558168,0.0147190261632204,0.9781675934791564,-0.1216351687908172,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9949309825897216,0.0278075560927391,0.985396146774292,-0.1610418856143951,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9854647517204284,-0.0980249382555484,0.9810324311256408,-0.1731955930590629,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9938732385635376,-0.0328973680734634,0.988969087600708,-0.1478488743305206,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9973813891410828,0.0042982567101716,0.9821776747703552,-0.156358852982521,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9970925450325012,-0.0602583885192871,0.9852641224861144,-0.1477676928043365,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9967690706253052,0.0347511749714612,0.979765087366104,-0.1677918285131454,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9881966710090636,-0.1184108816087245,0.9900414943695068,-0.1241096407175063,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9824241995811462,-0.0630379151552915,0.97140434384346,-0.1738802790641784,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9991331696510316,-0.0326478481292724,0.9869021773338318,-0.1573478281497955,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9979084730148317,0.0054470375180244,0.984929859638214,-0.1725759953260421,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9719878435134888,-0.2128414809703827,0.9831116199493408,-0.1814841330051422,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9883788228034972,0.0634960383176803,0.9780392050743104,-0.1649250835180282,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9944775402545928,0.0097422380931674,0.9852371215820312,-0.1631041690707206,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9854851365089417,0.0674275010824203,0.99347323179245,-0.1119714081287384,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.998361885547638,-0.0425298735499382,0.9780899882316588,-0.1778243631124496,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9996289610862732,-0.0249867085367441,0.9821470975875854,-0.1766225546598434,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9934526085853576,-0.0515190288424491,0.9867134392261504,-0.1510181427001953,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9893649816513062,-0.052776176482439,0.9845927953720092,-0.1671429574489593,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9882144033908844,0.0419566072523593,0.9895547330379486,-0.1256921924650669,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9803977608680724,-0.0686462000012397,0.992148756980896,-0.1151272058486938,1.0,0.0,-2.00,NoEvent
HUDOnly,0.998833417892456,0.048207264393568,0.9847589135169984,-0.1697561293840408,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9915631413459778,-0.0571455135941505,0.9812808632850648,-0.1633742749691009,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.980633556842804,0.0062792655080556,0.9849621057510376,-0.1486756354570388,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9793341755867004,0.0935271494090557,0.9639391601085664,-0.2596640139818191,0.0,0.0,-2.00,NoEvent
HUDOnly,0.995028555393219,0.0974713265895843,0.9810150861740112,-0.1842418611049652,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9782441854476928,-0.1677842736244201,0.9896060228347778,-0.1378559619188308,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9873462319374084,-0.1063412278890609,0.9974712133407592,-0.0189433358609676,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9918050169944764,0.0372562818229198,0.990045428276062,-0.1400763839483261,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9990336000919342,-0.0312485499307512,0.9853678494691848,-0.1588794700801372,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9774843156337738,0.0771560855209827,0.9637106359004974,-0.1460938453674315,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9778933227062224,-0.0076370297465473,0.9845433235168456,-0.1742869019508361,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9888173937797546,0.0643423497676849,0.9875812530517578,-0.1389656066894531,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9708048701286316,-0.0972176417708396,0.9930951595306396,-0.0963805243372917,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9601616859436036,0.1108328327536583,0.9725235104560852,-0.1550887525081634,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9866883158683776,-0.0462640151381492,0.9681863188743592,-0.1478075236082077,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9906974732875824,-0.0899186730384826,0.98220893740654,-0.1575230434536933,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9874032139778136,0.0529996901750564,0.989350199699402,-0.1444554328918457,0.0,0.0,-2.00,NoEvent
BaseCondition,0.985753059387207,-0.0548532679677009,0.990704357624054,-0.1343224942684173,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9556124806404114,0.2860032767057419,0.955208659172058,-0.1890689954161643,1.0,0.0,-2.00,NoEvent
BaseCondition,0.999806582927704,-0.0195158384740352,0.9784709215164183,-0.177134171128273,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9763014316558838,-0.0423089265823364,0.985040843486786,-0.079735592007637,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9823774099349976,0.156506210565567,0.990752339363098,-0.1290619969367981,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9987615942955016,-0.005844123661518,0.9772657752037048,-0.138045996427536,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9935943186283112,0.060792315751314,0.9866058528423308,-0.1617600880563258,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9935086369514464,-0.0619887635111808,0.9849855899810792,-0.1628141850233078,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.999270498752594,-0.0053457764443009,0.9873601198196412,-0.1582348272204398,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9969672560691832,0.0044187810271978,0.987049162387848,-0.1329880356788635,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.991735577583313,-0.0741256847977638,0.9819990396499634,-0.1887721270322799,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9784005880355836,0.035042505711317,0.9909632802009584,-0.1321465075016021,1.0,0.0,-2.00,NoEvent
HUDOnly,0.98946151137352,-0.0528811272233724,0.9885039925575256,-0.1349804624915122,0.0,0.0,-2.00,NoEvent
BaseCondition,0.979255884885788,-0.12608253210783,0.9874255508184432,-0.1571349166333675,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9556124806404114,0.1447703912854194,0.955208659172058,-0.123349267989397,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9946905970573424,-0.0642606243491172,0.9875508546829224,-0.1557070016860962,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9932000041007996,-0.0092382188886404,0.98984557390213,-0.1299082487821579,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9523304104804992,0.1505616307258606,0.994354248046875,-0.0668845847249031,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9918618202209472,-0.0319906994700431,0.9900581240653992,-0.1386400759220123,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9719434380531312,0.141798049211502,0.9871640801429749,-0.1272459328174591,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9939314126968384,-0.0981631875038147,0.9847792983055116,-0.1380704492330551,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9921351075172424,0.0251523163169622,0.9843891859054564,-0.1725194007158279,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9928173124790192,0.0358234792947768,0.98633873462677,-0.1412625759840011,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9998531937599182,-0.0010114517062902,0.98493230342865,-0.16743104159832,0.0,0.0,-2.00,NoEvent
BaseCondition,0.99431711435318,-0.0228175446391105,0.9920121431350708,-0.1257592886686325,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9907328486442566,0.027657801285386,0.9930329918861388,-0.1161227822303772,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9857923984527588,-0.1032828167080879,0.98311585187912,-0.1816187500953674,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9782227873802184,0.0225553940981626,0.9817153811454772,-0.1846372336149215,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9841939806938172,0.0316762588918209,0.9882978200912476,-0.14694444835186,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9997363686561584,-0.0111059104092419,0.9853800535202026,-0.0687680728733539,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9928620457649232,-0.1013519689440727,0.9842288494110109,-0.15032958984375,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9880314469337464,-0.1379716843366623,0.9854713082313538,-0.1552457213401794,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9855731725692748,-0.1049314141273498,0.9777660369873048,-0.2075697481632232,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9858323335647584,-0.102921187877655,0.9848480820655824,-0.1489649564027786,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9939692616462708,-0.0658095329999923,0.98580801486969,-0.1275101751089096,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9847413897514344,-0.1517343968153,0.9500330090522766,-0.1769671887159347,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9626225829124452,-0.233196273446083,0.984085977077484,-0.1691928058862686,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9952900409698486,0.0330055877566337,0.984321653842926,-0.1758569777011871,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9758724868297578,-0.1440397202968596,0.97900390625,-0.1693505719304084,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9869174361228942,-0.1368049159646034,0.9819119870662688,-0.1879479885101317,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9871401190757751,-0.1059132516384124,0.9895854592323304,-0.1415724903345108,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9856763482093812,0.1330263316631317,0.9842792749404908,-0.1492269933223724,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9927470684051514,-0.0313010513782501,0.9755867719650269,-0.152467593550682,0.0,0.0,-2.00,NoEvent
AudioOnly,0.990208312869072,-0.1246609464287757,0.9722667634487152,-0.1967881321907043,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9755240082740784,-0.1489213407039642,0.9868893623352052,-0.1590037643909453,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9523304104804992,0.1110903583467006,0.994354248046875,-0.1567876785993576,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9885818362236024,-0.1480758190155029,0.9778270721435548,-0.1719658523797989,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9702364802360536,-0.2352784574031829,0.9871053397655488,-0.1427522599697112,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9784412384033204,0.0617940202355384,0.9844668507575988,-0.1732257306575775,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9898396879434586,0.105664575472474,0.9685830622911452,-0.1058476157486438,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9858722686767578,0.0252334587275981,0.9865747690200806,-0.1552508324384689,0.0,0.0,-2.00,NoEvent
BaseCondition,0.973042219877243,0.0774682760238647,0.9807367026805878,-0.1882831305265426,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9912500381469728,-0.0505193434655666,0.9843157529830932,-0.1763114035129547,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9958423972129822,-0.0539482347667217,0.983946979045868,-0.1669897437095642,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9929364919662476,0.0248984806239604,0.9778783917427064,-0.1691703349351883,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.980702906847,-0.1420465111732482,0.9902158081531524,-0.1324174925684928,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9661681652069092,0.2311521619558334,0.9753539562225342,-0.1625302210450172,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9949919581413268,0.0218939296901226,0.9845269918441772,-0.1721285879611969,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9965293705463408,0.0742675401270389,0.9684240818023682,-0.1799855381250381,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9745898842811584,-0.2230542451143264,0.9877621531486512,-0.1468606889247894,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9774928689002992,0.1467440575361251,0.9722090363502502,-0.1569718345999717,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9958192110061646,-0.0814960151910781,0.9834229350090028,-0.1611740589141845,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9789715111255646,0.1248345021158456,0.9765023440122604,-0.1048974134027957,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9903781414031982,0.1378810703754425,0.9873040914535522,-0.1365172863006591,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9843022227287292,-0.1268858164548874,0.984638512134552,-0.1741550117731094,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9889001250267028,-0.0610373616218566,0.9873985648155212,-0.1313764303922653,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9983558058738708,0.0509442426264286,0.9810777306556702,-0.1924231201410293,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9954645335674286,0.0078445402905344,0.9919877350330352,-0.096880305558443,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9921690225601196,0.008060990832746,0.9895113706588744,-0.1422436237335205,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.992552936077118,-0.0529561899602413,0.9907420873641968,-0.1356134861707687,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9965968132019044,0.0280473791062831,0.9879828095436096,-0.1456959545612335,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9826167225837708,-0.1418575197458267,0.9851852655410768,-0.1579589247703552,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9918214678764344,0.0810464844107627,0.9804131388664246,-0.1779012382030487,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9873366355895996,-0.1332319527864456,0.9832608103752136,-0.126224547624588,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9715200066566468,-0.1304242461919784,0.9913276433944702,-0.1308527588844298,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.98050057888031,0.1200697720050811,0.9864269495010376,-0.1289753168821334,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9956400990486144,-0.048429936170578,0.980446457862854,-0.1386187374591827,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9940845966339112,-0.0590346306562423,0.9936915636062622,-0.1108972355723381,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9997618496418,-0.0190226901322602,0.989095538854599,-0.1459910124540328,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9919867515563964,-0.0750201493501663,0.9883784651756288,-0.1519682556390762,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9926573634147644,-0.0604814551770687,0.9719130396842957,-0.1516052931547165,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9952954947948456,-0.0509378537535667,0.938320815563202,-0.429658979177475,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9882911443710328,-0.1478513181209564,0.9861963391304016,-0.1425135880708694,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9629887938499452,-0.26619952917099,0.983024537563324,-0.1800635308027267,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9863389432430268,-0.049655083566904,0.9549058675765992,-0.1478918567299842,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9963526725769044,-0.040441233664751,0.9867588877677916,-0.1604862958192825,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9899322390556335,-0.0195219069719314,0.9841414093971252,-0.1402596533298492,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9930471181869508,-0.0687029883265495,0.983795404434204,-0.1761855781078338,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9940587878227234,-0.0921227186918258,0.9803809523582458,-0.1455502957105636,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9885401129722596,0.052483819425106,0.995711088180542,-0.0541465394198894,0.0,0.0,-1.98,NoEvent
BaseCondition,0.984073281288147,0.157705470919609,0.977938950061798,-0.1031048521399498,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.982629656791687,0.0843597017228603,0.9887046813964844,-0.1488648951053619,1.0,0.0,-1.98,NoEvent
HUDOnly,0.997939795255661,-0.045246809720993,0.9747610688209534,-0.1394238770008087,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.991858184337616,0.0637380555272102,0.9792215824127196,-0.1853521168231964,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9894752502441406,-0.0765245705842971,0.98661470413208,-0.1354250758886337,1.0,0.0,-1.98,NoEvent
AudioOnly,0.9823484420776368,0.006772774271667,0.979863941669464,-0.1744343638420105,1.0,0.0,-1.98,NoEvent
AudioOnly,0.9620708227157592,-0.2412148118019104,0.9832801818847656,-0.167320892214775,1.0,0.0,-1.98,NoEvent
HUDOnly,0.9847267866134644,-0.0528072565793991,0.9859133958816528,-0.1031108796596527,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9905871748924256,-0.1319097727537155,0.9806487560272216,-0.1955978572368621,0.0,0.0,-1.98,NoEvent
HUDOnly,0.9995832443237304,-0.0275214053690433,0.9697449803352356,-0.1721318215131759,1.0,0.0,-1.98,NoEvent
HUDOnly,0.970157027244568,-0.2097809463739395,0.975121796131134,-0.2035326212644577,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9781511425971984,-0.0165676735341548,0.9800434708595276,-0.1668044626712799,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9907037019729614,0.0944158881902694,0.929904580116272,-0.0108396625146269,1.0,0.0,-1.98,NoEvent
HUDOnly,0.9967868626117706,0.0186606496572494,0.9698618054389954,-0.243346020579338,0.0,0.0,-1.98,NoEvent
AudioOnly,0.9398372173309326,0.3369579315185547,0.9805949926376344,-0.1851540133357048,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9997678399086,-0.0082359537482261,0.9877148866653442,-0.1487608700990677,1.0,0.0,-1.98,NoEvent
AudioOnly,0.9917385578155518,0.0030678566545248,0.9860810041427612,-0.1330106854438781,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9920104742050172,-0.1235181912779808,0.9652565717697144,-0.1580297946929931,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9820024967193604,-0.1870240271091461,0.9733876734972,-0.1960925869643688,1.0,0.0,-1.98,NoEvent
HUDOnly,0.996691569685936,-0.0287695238366722,0.9858181327581406,-0.1657752990722655,1.0,0.0,-1.98,NoEvent
HUDOnly,0.95833021402359,0.2632428109645843,0.9868461489677428,-0.1315331608057022,0.0,0.0,-1.98,NoEvent
BaseCondition,0.98355895280838,-0.1764866411685943,0.986152172088623,-0.1437437236309051,0.0,0.0,-1.98,NoEvent
HUDOnly,0.99790757894516,0.018143406137824,0.9679898619651794,-0.1410893350839615,0.0,0.0,-1.98,NoEvent
AudioOnly,0.9925216436386108,-0.008563607931137,0.9853227138519288,-0.1702412813901901,0.0,0.0,-1.98,NoEvent
HUDOnly,0.9989642798900604,-0.0361499711871146,0.9776540398597716,-0.158053308725357,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9974319338798524,0.0029518418014049,0.9882823824882508,-0.1501668095588684,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9966076910495758,0.071861770004034,0.93172225356102,-0.3448467850685119,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9981728792190552,-0.0219422951340675,0.976373553276062,-0.1802806556224823,0.0,0.0,-1.98,NoEvent
AudioOnly,0.9835468530654908,-0.161040648818016,0.9852423369884492,-0.1510271504521369,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9656982421875,-0.259388118982315,0.9598320722579956,0.2038393318653106,0.0,0.0,-1.98,NoEvent
HUDOnly,0.9834388494491576,0.1528938710689544,0.9763177037239076,-0.2163276076316833,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9832873940467834,0.0692972391843795,0.9931737780570984,-0.1165057495236396,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9976823925971984,0.0151705741882324,0.9832475185394288,-0.1276489645242691,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9960289597511292,0.0268436120823025,0.9859575629234314,-0.1629466190934181,1.0,0.0,-1.98,NoEvent
HUDOnly,0.9881018996238708,-0.1048517525196075,0.9819341897964478,-0.1684173196554184,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.994128167629242,-0.0344486758112907,0.9888200759887696,-0.1487852483987808,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9984719157218932,0.0023189857602119,0.9817935228347778,-0.1656284481287002,1.0,0.0,-1.98,NoEvent
AudioOnly,0.9976400136947632,-0.059259220957756,0.9887330532073976,-0.1479837447404861,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9980276823043824,0.0300193149596452,0.9765132069587708,-0.1848330795764923,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9885152280330658,-0.1213670391589402,0.989653468132019,-0.1279654316604137,1.0,0.0,-1.98,NoEvent
BaseCondition,0.985859215259552,-0.0650451183319091,0.9712302088737488,-0.180470809340477,0.0,0.0,-1.98,NoEvent
AudioOnly,0.9978281259536744,-0.0474728271365165,0.9862198233604432,-0.1595029085874557,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9985219836235046,0.0007826760411262,0.9838882684707642,-0.1773425340652465,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9721534848213196,-0.2188529968261718,0.9837640523910522,-0.1781086176633834,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9899502396583556,0.0641765743494033,0.9865055680274964,-0.1603381484746933,1.0,0.0,-1.98,NoEvent
FullLoopAR,0.9970850944519044,0.0056346789933741,0.9861220121383668,-0.1606966853141784,1.0,0.0,-1.98,NoEvent
BaseCondition,0.987459361553192,0.0647401586174964,0.993318498134613,-0.1145906075835228,0.0,0.0,-1.98,NoEvent
FullLoopAR,0.9986087679862976,-0.0453222207725048,0.9739596247673036,-0.1715946495532989,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9995992183685304,-0.0280409846454858,0.981638252735138,-0.1774215400218963,1.0,0.0,-1.98,NoEvent
BaseCondition,0.9946850538253784,-0.0558769032359123,0.9858652949333192,-0.1570934951305389,0.0,0.0,-1.98,NoEvent
HUDOnly,0.9906212091445924,-0.0561593100428581,0.985417664051056,-0.1666020005941391,0.0,0.0,-1.98,NoEvent
BaseCondition,0.9910280704498292,0.0405919700860977,0.987928867340088,-0.1456032246351242,1.0,0.0,-1.98,NoEvent
HUDOnly,0.9827966690063475,-0.0751164406538009,0.9917518496513368,-0.1179951503872871,1.0,0.0,-1.98,NoEvent
HUDOnly,0.9990020990371704,0.0425391867756843,0.9808076024055482,-0.1626120805740356,0.0,0.0,-1.98,NoEvent
