ExperimentalCondition,Head Horizontal,Head Vertical,Eye Horizontal,Eye Vertical,SuccessfulCompletion,Time,Event
FullLoopAR,0.9729799628257751,-0.0813211649656295,0.9648810029029846,-0.1318466365337371,0.0,-1.00,NoEvent
BaseCondition,0.9870147705078124,-0.134605199098587,0.81920325756073,-0.5860220193862915,1.0,-1.00,NoEvent
BaseCondition,0.9735080897808076,-0.1151358187198638,0.844946026802063,-0.4696939587593078,0.0,-1.00,NoEvent
HUDOnly,0.9887585639953612,-0.09028160572052,0.9887315034866332,-0.0961206033825874,0.0,-1.00,NoEvent
BaseCondition,0.9882826209068298,-0.0574199147522449,0.917243629693985,-0.3675850033760071,1.0,-1.00,NoEvent
HUDOnly,0.9822704792022704,-0.1207299679517746,0.9721119403839112,-0.1406052112579345,1.0,-1.00,NoEvent
HUDOnly,0.9798059463500975,-0.0054600648581981,0.9506940245628356,-0.0862122476100921,0.0,-1.00,NoEvent
BaseCondition,0.9680038094520568,-0.1103324890136718,0.9722856879234314,-0.1413074135780334,0.0,-1.00,NoEvent
FullLoopAR,0.9842763543128968,-0.0681996531784534,0.9642559587955476,-0.1020705923438071,1.0,-1.00,NoEvent
AudioOnly,0.9870147705078124,-0.037621185183525,0.81920325756073,-0.5351460576057434,0.0,-1.00,NoEvent
HUDOnly,0.9612497687339784,0.0579152815043926,0.8731394410133362,-0.3596275746822357,1.0,-1.00,NoEvent
BaseCondition,0.9489465653896332,-0.247956983745098,0.9599745869636536,-0.137573130428791,1.0,-1.00,NoEvent
FullLoopAR,0.968964695930481,-0.1660425066947937,0.9179818630218506,-0.1084243506193161,0.0,-1.00,NoEvent
AudioOnly,0.9796850085258484,-0.0806285291910171,0.963334047794342,-0.1042642220854759,1.0,-1.00,NoEvent
AudioOnly,0.9656206965446472,-0.0872384831309318,0.9760525226593018,-0.1418924927711486,1.0,-1.00,NoEvent
BaseCondition,0.9653878808021544,0.0084956111386418,0.961091697216034,-0.1511993035674095,0.0,-1.00,NoEvent
BaseCondition,0.9712315201759338,-0.1711980998516082,0.8541105389595032,-0.5159372091293335,0.0,-1.00,NoEvent
BaseCondition,0.9888561069965364,-0.0582533702254295,0.967164546251297,-0.146007403731346,0.0,-1.00,NoEvent
HUDOnly,0.9686226546764374,-0.1664884090423584,0.9652784653007984,-0.1316048000007867,0.0,-1.00,NoEvent
HUDOnly,0.9969464540481568,0.0614908132702112,0.9635796546936034,-0.0713469274342059,1.0,-1.00,NoEvent
AudioOnly,0.9779487252235411,-0.0622257962822914,0.9754105806350708,-0.0784943401813507,0.0,-1.00,NoEvent
BaseCondition,0.9697909951210022,-0.1575632840394973,0.9760810732841492,-0.1094041764736175,0.0,-1.00,NoEvent
HUDOnly,0.986669898033142,-0.0608099251985549,0.9636615514755248,-0.1202375069260597,0.0,-1.00,NoEvent
BaseCondition,0.9657429456710817,-0.168228194117546,0.9742590188980104,-0.1269884407520294,0.0,-1.00,NoEvent
FullLoopAR,0.9801077842712402,0.1262920424342155,0.969366729259491,-0.1228663250803947,1.0,-1.00,NoEvent
BaseCondition,0.9832481145858764,-0.0564455762505531,0.9756142497062684,-0.1083277985453605,0.0,-1.00,NoEvent
FullLoopAR,0.9711745977401732,-0.1188742369413375,0.9773991107940674,-0.1025035455822944,1.0,-1.00,NoEvent
FullLoopAR,0.965642273426056,0.027286360040307,0.9599161148071288,-0.1453223526477813,0.0,-1.00,NoEvent
HUDOnly,0.9763220250606536,-0.0601622406393289,0.9695420563220978,-0.1354296803474426,1.0,-1.00,NoEvent
FullLoopAR,0.9827508926391602,-0.0064176404848694,0.969157248735428,-0.1140441186726093,1.0,-1.00,NoEvent
FullLoopAR,0.9788467288017272,-0.121530070900917,0.8608108758926392,-0.2899559140205383,1.0,-1.00,NoEvent
FullLoopAR,0.9835067391395568,-0.0337103568017482,0.9930822849273682,0.0020842070225626,0.0,-1.00,NoEvent
HUDOnly,0.9792926907539368,-0.0578988343477248,0.9682374596595764,-0.156856134533882,1.0,-1.00,NoEvent
FullLoopAR,0.9780287146568298,-0.1260210573673248,0.9515763521194458,-0.2210785299539566,1.0,-1.00,NoEvent
FullLoopAR,0.9918141961097716,0.0238259918987751,0.9533250331878662,-0.1028381958603859,1.0,-1.00,NoEvent
HUDOnly,0.98362535238266,-0.0473478734493255,0.9694347977638244,-0.1189916282892227,0.0,-1.00,NoEvent
BaseCondition,0.9756111800670624,-0.1901551038026809,0.9400624930858612,-0.0966258607804774,0.0,-1.00,NoEvent
FullLoopAR,0.9973872900009156,0.0637184605002403,0.9562343955039978,-0.1785271018743515,1.0,-1.00,NoEvent
FullLoopAR,0.9670923948287964,-0.1042784936726093,0.9654193222522736,-0.1813588961958884,0.0,-1.00,NoEvent
FullLoopAR,0.9856492877006532,-0.0723174586892128,0.978430986404419,-0.1115515232086181,1.0,-1.00,NoEvent
HUDOnly,0.9288641214370728,0.1559896171092987,0.9040316343307496,-0.0890495851635932,0.0,-1.00,NoEvent
BaseCondition,0.980358511209488,-0.0926604643464087,0.9659986197948456,-0.0997508093714714,0.0,-1.00,NoEvent
FullLoopAR,0.9728614091873168,0.0109442211687564,0.9173835515975952,-0.1642145663499832,1.0,-1.00,NoEvent
FullLoopAR,0.9610771834850312,-0.1641636565327643,0.9296450912952424,-0.0323574915528297,0.0,-1.00,NoEvent
BaseCondition,0.9610165357589722,-0.1000208556652069,0.9500138163566588,-0.2060228586196899,0.0,-1.00,NoEvent
AudioOnly,0.94438236951828,-0.0116646476089954,0.988240361213684,-0.0975401625037193,0.0,-1.00,NoEvent
FullLoopAR,0.9597375988960266,-0.0427860170602798,0.9435997605323792,-0.0579709187150001,0.0,-1.00,NoEvent
BaseCondition,0.9767020344734192,0.0322031639516353,0.9552374482154846,-0.1597315073013305,0.0,-1.00,NoEvent
HUDOnly,0.9700490236282348,0.076324738562107,0.9805532097816468,-0.0839509442448616,0.0,-1.00,NoEvent
FullLoopAR,0.9738558530807496,-0.1621873676776885,0.9697689116001128,-0.1582200080156326,1.0,-1.00,NoEvent
AudioOnly,0.9948216676712036,-0.0951977297663688,0.9690164923667908,-0.1552302688360214,1.0,-1.00,NoEvent
HUDOnly,0.9759024381637572,-0.1023561656475067,0.9743496775627136,-0.1380405873060226,0.0,-1.00,NoEvent
AudioOnly,0.9680151641368866,0.0008248444646596,0.980290025472641,-0.0721906907856463,1.0,-1.00,NoEvent
AudioOnly,0.9613017439842224,-0.1188167631626129,0.9716423153877258,-0.1378030627965927,0.0,-1.00,NoEvent
HUDOnly,0.9684771299362184,-0.1483149677515029,0.971328765153885,-0.0750646069645881,0.0,-1.00,NoEvent
BaseCondition,0.9752851724624634,-0.1405297815799713,0.9819634556770324,-0.1353394240140915,0.0,-1.00,NoEvent
FullLoopAR,0.9767729043960572,-0.1630224734544754,0.8865389823913574,-0.3298225104808807,1.0,-1.00,NoEvent
AudioOnly,0.9685441851615906,-0.1336539089679718,0.96743243932724,-0.1312447935342788,0.0,-1.00,NoEvent
BaseCondition,0.9364283084869384,-0.308599442243576,0.8508816361427307,-0.5025678873062134,0.0,-1.00,NoEvent
FullLoopAR,0.9375089406967164,-0.2606309056282043,0.8778157830238342,-0.2636393904685974,1.0,-1.00,NoEvent
FullLoopAR,0.986321359872818,-0.0246482426300644,0.9671105444431304,-0.0704967156052589,1.0,-1.00,NoEvent
HUDOnly,0.9724732637405396,-0.1884318366646766,0.9706954658031464,-0.185007244348526,1.0,-1.00,NoEvent
HUDOnly,0.964586615562439,-0.1681195795536041,0.9633970260620116,-0.1989792734384536,1.0,-1.00,NoEvent
FullLoopAR,0.9750298857688904,-0.1323020309209823,0.968957781791687,-0.1588471233844757,0.0,-1.00,NoEvent
BaseCondition,0.9880388975143432,0.065992534160614,0.967352032661438,-0.1227285116910934,0.0,-1.00,NoEvent
FullLoopAR,0.9853871464729308,-0.0872765630483627,0.9783111214637756,-0.1388072967529297,0.0,-1.00,NoEvent
AudioOnly,0.9605602025985718,-0.1719316691160202,0.9643741250038148,-0.1009066104888916,0.0,-1.00,NoEvent
HUDOnly,0.9585910439491272,-0.2087678611278534,0.9778331518173218,-0.1035510748624801,1.0,-1.00,NoEvent
BaseCondition,0.97526878118515,-0.011399183422327,0.9629408717155457,-0.1477299183607101,0.0,-1.00,NoEvent
FullLoopAR,0.9611843824386596,-0.1939267516136169,0.9582697153091432,-0.1714056432247162,0.0,-1.00,NoEvent
BaseCondition,0.9326665997505188,-0.3019821047782898,0.9765082597732544,-0.0979498103260994,0.0,-1.00,NoEvent
AudioOnly,0.9871897399425508,0.0116720777004956,0.9687215387821198,-0.151726946234703,1.0,-1.00,NoEvent
HUDOnly,0.9675113260746002,-0.0160207198932766,0.9352646023035048,-0.1048515904694795,0.0,-1.00,NoEvent
AudioOnly,0.9787383675575256,-0.0722530856728553,0.9509540796279908,-0.1371002048254013,0.0,-1.00,NoEvent
BaseCondition,0.9808705151081084,-0.0606823489069938,0.967561811208725,-0.1705129370093345,1.0,-1.00,NoEvent
AudioOnly,0.9645477533340454,-0.1092569977045059,0.9226993918418884,-0.280172049999237,1.0,-1.00,NoEvent
BaseCondition,0.9569656848907472,-0.0898189414292573,0.9701090306043624,-0.1313696615397929,0.0,-1.00,NoEvent
FullLoopAR,0.9716545939445496,-0.0245513785630464,0.9628619849681854,-0.1745732575654983,1.0,-1.00,NoEvent
FullLoopAR,0.9732165336608888,-0.1970681250095367,0.9770055413246156,-0.1340715736150741,1.0,-1.00,NoEvent
AudioOnly,0.9997771978378296,-0.0065522147342562,0.9328585267066956,-0.2901853621006012,1.0,-1.00,NoEvent
BaseCondition,0.9831836819648744,-0.0460892505943775,0.9659730792045592,-0.1699263155460357,0.0,-1.00,NoEvent
AudioOnly,0.9832124710083008,-0.0734312459826469,0.867447555065155,-0.3935779333114624,0.0,-1.00,NoEvent
BaseCondition,0.9315564930438994,-0.2705571502447128,0.9300088882446288,-0.0586225427687168,0.0,-1.00,NoEvent
AudioOnly,0.9244200587272644,0.165127545595169,0.970985233783722,-0.1227406337857246,1.0,-1.00,NoEvent
HUDOnly,0.960759460926056,0.0024646946694701,0.9636458456516266,-0.1506136730313301,0.0,-1.00,NoEvent
HUDOnly,0.9911692142486572,0.0510993301868438,0.97681725025177,-0.1021059826016426,0.0,-1.00,NoEvent
HUDOnly,0.990195006132126,0.0725275725126266,0.9541495442390442,-0.1166522148996591,1.0,-1.00,NoEvent
FullLoopAR,0.9627394080162048,-0.2006616443395614,0.930810809135437,-0.181890606880188,1.0,-1.00,NoEvent
AudioOnly,0.9795469641685486,-0.101361259818077,0.9742022156715392,-0.1376238167285919,1.0,-1.00,NoEvent
HUDOnly,0.9685200452804564,-0.0236225128173828,0.973383128643036,-0.1296746432781219,1.0,-1.00,NoEvent
HUDOnly,0.9556195735931396,0.0213910248130559,0.9344700574874878,-0.0701893493533134,0.0,-1.00,NoEvent
HUDOnly,0.9859678149223328,-0.0314537212252616,0.963093638420105,-0.1125933602452278,1.0,-1.00,NoEvent
FullLoopAR,0.9700450301170348,-0.0762599557638168,0.960124671459198,-0.1553280502557754,1.0,-1.00,NoEvent
AudioOnly,0.9779316782951356,-0.049103058874607,0.934266209602356,-0.0913679674267768,0.0,-1.00,NoEvent
FullLoopAR,0.9683589339256288,-0.2012267410755157,0.9074373245239258,-0.2701601684093475,1.0,-1.00,NoEvent
AudioOnly,0.9757649302482604,0.0502691119909286,0.9605735540390016,-0.156899556517601,1.0,-1.00,NoEvent
AudioOnly,0.9539219737052916,-0.2159079760313034,0.9667995572090148,-0.1114091128110885,0.0,-1.00,NoEvent
BaseCondition,0.9726665019989014,-0.1877842620015143,0.9609317183494568,-0.1669349372386931,0.0,-1.00,NoEvent
FullLoopAR,0.9806185364723206,0.0987629890441894,0.9732176065444946,-0.1119642928242683,0.0,-1.00,NoEvent
BaseCondition,0.9767309427261353,-0.102857269346714,0.9799814224243164,-0.1008070409297943,1.0,-1.00,NoEvent
HUDOnly,0.9777164459228516,-0.1478673219680786,0.9039781434195382,-0.2048216983675956,1.0,-1.00,NoEvent
FullLoopAR,0.9367378354072572,-0.0488542951643466,0.9571594893932344,-0.1524332463741302,1.0,-1.00,NoEvent
HUDOnly,0.9805803894996644,-0.1661819517612456,0.9232832789421082,-0.1629718169569968,1.0,-1.00,NoEvent
FullLoopAR,0.965760201215744,-0.1214807145297527,0.9583604633808136,-0.1311874315142631,1.0,-1.00,NoEvent
AudioOnly,0.9766504168510436,-0.1267375349998474,0.8871124982833862,-0.4121545255184173,1.0,-1.00,NoEvent
BaseCondition,0.9550110101699828,-0.2059549391269683,0.975655734539032,-0.1080964803695678,0.0,-1.00,NoEvent
BaseCondition,0.9298574924468994,-0.3031046986579895,0.9705900549888612,-0.1777946799993515,0.0,-1.00,NoEvent
FullLoopAR,0.985331654548645,-0.1068634241819381,0.9339184761047364,-0.1405553221702575,1.0,-1.00,NoEvent
BaseCondition,0.9695239663124084,-0.0962542220950126,0.9713472723960876,-0.1168708354234695,0.0,-0.98,NoEvent
FullLoopAR,0.9610516428947448,-0.0613135024905204,0.9558272361755372,-0.1178697943687439,1.0,-0.98,NoEvent
BaseCondition,0.978758066892624,-0.109489906579256,0.95657217502594,-0.1938002407550811,0.0,-0.98,NoEvent
FullLoopAR,0.9658650159835817,-0.1542347967624664,0.9681279063224792,-0.132560521364212,1.0,-0.98,NoEvent
BaseCondition,0.992226779460907,-0.0117870504036545,0.9781535267829896,-0.1185706183314323,0.0,-0.98,NoEvent
BaseCondition,0.9695954918861388,0.0692284479737281,0.9606276154518129,-0.1172538697719574,0.0,-0.98,NoEvent
FullLoopAR,0.9974085688591005,-0.0159004405140876,0.9639255404472352,-0.1333274245262146,1.0,-0.98,NoEvent
HUDOnly,0.9665981233119963,-0.0434587188065051,0.9266051352024078,-0.0323792835697531,1.0,-0.98,NoEvent
FullLoopAR,0.992705464363098,0.0200880244374275,0.9561448097229004,-0.1581761538982391,1.0,-0.98,NoEvent
FullLoopAR,0.952109396457672,-0.127562403678894,0.9591057896614076,-0.1461051553487777,1.0,-0.98,NoEvent
AudioOnly,0.9937059283256532,-0.0526887625455856,0.9748337864875792,-0.1728105247020721,1.0,-0.98,NoEvent
AudioOnly,0.9458982944488524,-0.301427960395813,0.9709450006484984,-0.1342963278293609,1.0,-0.98,NoEvent
HUDOnly,0.9874634444713593,-0.1121959798038005,0.9525194466114044,-0.0377586428076028,0.0,-0.98,NoEvent
BaseCondition,0.9533537030220032,-0.196554958820343,0.9554814100265504,-0.2105605155229568,0.0,-0.98,NoEvent
HUDOnly,0.955843821167946,-0.0423883683979511,0.9678657799959184,-0.055207286030054,1.0,-0.98,NoEvent
HUDOnly,0.9865539073944092,-0.2719917297363281,0.8144319653511047,-0.6037135124206543,1.0,-0.98,NoEvent
BaseCondition,0.9989227652549744,-0.0370881706476211,0.9694409966468812,-0.1399274468421936,0.0,-0.98,NoEvent
FullLoopAR,0.9709275215864182,0.0397846791893243,0.9453966915607452,-0.1290263794362544,1.0,-0.98,NoEvent
HUDOnly,0.9790799021720886,-0.0367937013506889,0.9699299931526184,-0.1365419924259185,0.0,-0.98,NoEvent
AudioOnly,0.9789180159568788,0.0427133217453956,0.8718394041061401,-0.4551007151603699,0.0,-0.98,NoEvent
BaseCondition,0.976478397846222,-0.0097513049840927,0.9748218523131476,-0.1080740988254546,1.0,-0.98,NoEvent
AudioOnly,0.9856159090995787,-0.0739128440618515,0.9737688899040222,-0.1059121042490005,0.0,-0.98,NoEvent
FullLoopAR,0.9640780687332152,-0.1801248490810394,0.9565991163253784,-0.1563790440559387,1.0,-0.98,NoEvent
BaseCondition,0.9295789003372192,-0.257035881280899,0.9487819075584412,-0.0913066789507865,1.0,-0.98,NoEvent
HUDOnly,0.975833773612976,-0.0832750350236892,0.9697712063789368,-0.1651399582624435,1.0,-0.98,NoEvent
HUDOnly,0.969861626625061,0.1456178724765777,0.9605453610420228,-0.1491050720214843,0.0,-0.98,NoEvent
BaseCondition,0.924638569355011,-0.2196647822856903,0.9709845781326294,-0.1466718018054962,0.0,-0.98,NoEvent
HUDOnly,0.9762184023857116,-0.0176364630460739,0.959652304649353,-0.1508208960294723,0.0,-0.98,NoEvent
AudioOnly,0.9864476323127748,-0.0561963953077793,0.9637444019317628,-0.1310979574918747,0.0,-0.98,NoEvent
HUDOnly,0.9655356407165528,-0.1000192202627658,0.9790282249450684,-0.138770967721939,1.0,-0.98,NoEvent
BaseCondition,0.98004150390625,-0.055566668510437,0.998612940311432,-0.045043908059597,0.0,-0.98,NoEvent
FullLoopAR,0.959728479385376,0.2629106640815735,0.9228078126907348,-0.2311987578868866,0.0,-0.98,NoEvent
BaseCondition,0.987121284008026,-0.1158723384141922,0.9591737389564514,-0.2030539810657501,0.0,-0.98,NoEvent
AudioOnly,0.9541728496551514,-0.219345785677433,0.9620385617017746,-0.0738758575171231,0.0,-0.98,NoEvent
FullLoopAR,0.9504327178001404,-0.2304070144891738,0.9403602806004612,0.1859589232639832,0.0,-0.98,NoEvent
HUDOnly,0.9652435481548308,0.1400390118360518,0.9593715369701384,-0.1966665536165237,0.0,-0.98,NoEvent
BaseCondition,0.9739558100700378,-0.0090315854176878,0.9661799967288972,-0.1078907400369644,0.0,-0.98,NoEvent
BaseCondition,0.9772402048110962,-0.138017252087593,0.9823887944221495,-0.119153156876564,1.0,-0.98,NoEvent
FullLoopAR,0.9849758744239808,-0.0373831167817115,0.92355877161026,-0.0401534736156463,1.0,-0.98,NoEvent
HUDOnly,0.9818235337734222,-0.0967519283294677,0.8763843417167664,-0.1979362845420836,1.0,-0.98,NoEvent
FullLoopAR,0.976732611656189,-0.1031867563724517,0.9655933380126952,-0.0691598057746887,1.0,-0.98,NoEvent
FullLoopAR,0.990138053894043,-0.0843718722462654,0.980696737766266,-0.154489979147911,1.0,-0.98,NoEvent
AudioOnly,0.961704671382904,-0.0540009886026382,0.9597036242485046,-0.1547296792268753,1.0,-0.98,NoEvent
FullLoopAR,0.9827133417129515,-0.0333876945078372,0.9693806767463684,-0.1465174853801727,1.0,-0.98,NoEvent
FullLoopAR,0.9393559098243712,-0.1694347560405731,0.954105257987976,-0.0738584324717521,1.0,-0.98,NoEvent
BaseCondition,0.9545772671699524,-0.188676506280899,0.9739105701446532,-0.1068956106901168,0.0,-0.98,NoEvent
AudioOnly,0.948901116847992,-0.1048033684492111,0.9565487504005432,-0.0434315539896488,1.0,-0.98,NoEvent
FullLoopAR,0.9750226140022278,-0.0470906794071197,0.9793190360069276,-0.1268356144428253,0.0,-0.98,NoEvent
FullLoopAR,0.9426522254943848,-0.2489536553621292,0.9438140988349916,-0.1281685084104538,0.0,-0.98,NoEvent
FullLoopAR,0.9819164872169496,-0.0004039481282234,0.9104032963514328,-0.1980908885598182,1.0,-0.98,NoEvent
FullLoopAR,0.9834890365600586,-0.0316053293645381,0.9599691033363342,-0.1089071109890937,1.0,-0.98,NoEvent
BaseCondition,0.9876055121421814,0.0214036405086517,0.9399219751358032,-0.122009739279747,0.0,-0.98,NoEvent
FullLoopAR,0.9726994633674622,-0.0814065486192703,0.9664306640625,-0.1184199824929237,0.0,-0.98,NoEvent
BaseCondition,0.9865539073944092,-0.1375501453876495,0.8144319653511047,-0.5750710964202881,1.0,-0.98,NoEvent
BaseCondition,0.9733458161354064,-0.1143373772501945,0.8467431664466858,-0.4687424898147583,0.0,-0.98,NoEvent
HUDOnly,0.9888973832130432,-0.0867746472358703,0.9820393919944764,-0.1005840674042701,0.0,-0.98,NoEvent
BaseCondition,0.9878045916557312,-0.0575279630720615,0.917687714099884,-0.3671931624412536,1.0,-0.98,NoEvent
HUDOnly,0.9819905757904052,-0.1226080507040023,0.970984935760498,-0.1417304128408432,1.0,-0.98,NoEvent
HUDOnly,0.9797369241714478,-0.0034074075520037,0.9502452909946442,-0.0875850319862364,0.0,-0.98,NoEvent
BaseCondition,0.9673948287963868,-0.1081379503011703,0.9723837971687316,-0.1392665207386016,0.0,-0.98,NoEvent
FullLoopAR,0.9842116236686708,-0.0682973340153694,0.9640286564826964,-0.1012701168656349,1.0,-0.98,NoEvent
AudioOnly,0.9865539073944092,-0.0409423261880874,0.8144319653511047,-0.5384038686752319,0.0,-0.98,NoEvent
HUDOnly,0.96090430021286,0.0583763420581817,0.8725311160087585,-0.3613686263561249,1.0,-0.98,NoEvent
BaseCondition,0.948971688747406,-0.2455741614103317,0.9597498774528505,-0.1367276608943939,1.0,-0.98,NoEvent
FullLoopAR,0.96841898560524,-0.1656706258654594,0.9151914715766908,-0.1104754619300364,0.0,-0.98,NoEvent
AudioOnly,0.9789415597915648,-0.0836821645498275,0.9657499492168428,-0.1013791114091872,1.0,-0.98,NoEvent
AudioOnly,0.9655368328094482,-0.0874586999416351,0.976277232170105,-0.1392402797937393,1.0,-0.98,NoEvent
BaseCondition,0.965852439403534,0.0107416473329067,0.96264910697937,-0.1447417140007019,0.0,-0.98,NoEvent
BaseCondition,0.9711180329322816,-0.1705120503902435,0.8463600873947144,-0.5263330340385437,0.0,-0.98,NoEvent
BaseCondition,0.9880748391151428,-0.0607551746070385,0.966579258441925,-0.149443507194519,0.0,-0.98,NoEvent
HUDOnly,0.9683982729911804,-0.1669140458106994,0.966604508459568,-0.124190155416727,0.0,-0.98,NoEvent
HUDOnly,0.9968815445899964,0.0592123940587043,0.9636269807815552,-0.072280116379261,1.0,-0.98,NoEvent
