PC1,PC2,PC3,PC4,Time,Event
0.4502483995961265,0.34295426016801944,0.15342913777729272,0.05336820245856133,-1.00,NoEvent
0.45071691870264824,0.3397563418303055,0.15345749098992414,0.05606924847712223,-0.98,NoEvent
0.45879957012269074,0.33626469801246395,0.15207952925342685,0.052856202611418455,-0.96,NoEvent
0.46373939182879237,0.3342626106624639,0.1513274394543903,0.05067055805435342,-0.94,NoEvent
0.4683121394350776,0.3250240952112219,0.15116040590590202,0.05550335944779849,-0.92,NoEvent
0.47463133786053957,0.3203003965590877,0.14819174223847767,0.05687652334189504,-0.90,NoEvent
0.4669258741403577,0.3131236198130326,0.14974877641837261,0.07020172962823706,-0.88,NoEvent
0.4691105337131324,0.31781376645936826,0.1498729056691877,0.06320279415831177,-0.86,NoEvent
0.4685753198816358,0.308295149773355,0.15240595661182077,0.07072357373318855,-0.84,NoEvent
0.49076224425179604,0.27459144061471114,0.15495256746392533,0.0796937476695676,-0.82,NoEvent
0.47545957520326027,0.28755216296899844,0.1567599384882762,0.080228323339465,-0.80,NoEvent
0.4710409805507901,0.293621422160331,0.1592883826220262,0.07604921466685277,-0.78,NoEvent
0.4459680500373156,0.3232806504637889,0.16300639293491853,0.06774490656397708,-0.76,NoEvent
0.4334925885684987,0.3240061603597169,0.17323617253804463,0.06926507853373975,-0.74,NoEvent
0.4578163192505585,0.2969634557499501,0.1731884002963705,0.07203182470312075,-0.72,NoEvent
0.4590670235438961,0.3013613301276858,0.174869847335472,0.06470179899294623,-0.70,NoEvent
0.4617922743140618,0.2958606109636895,0.17949199235822869,0.06285512236401995,-0.68,NoEvent
0.4467802819598636,0.2842009709153035,0.19373949342270605,0.07527925370212689,-0.66,NoEvent
0.4414679777643622,0.2874435307566185,0.18987006767246367,0.08121842380655574,-0.64,NoEvent
0.44567065395422506,0.2764385877328234,0.19735197647719663,0.0805387818357549,-0.62,NoEvent
0.4349973995996283,0.2644619537678622,0.20882786914748297,0.09171277748502656,-0.60,NoEvent
0.4281950404335499,0.26732450951233055,0.21305284398775326,0.09142760606636634,-0.58,NoEvent
0.4245413973900898,0.2695711457256928,0.2143847993396666,0.09150265754455092,-0.56,NoEvent
0.4158443547699618,0.26970816405041964,0.2212593663685114,0.09318811481110721,-0.54,NoEvent
0.4110576359551078,0.27754194778956265,0.217204360363195,0.09419605589213456,-0.52,NoEvent
