Timestamp,TrainAcc2D,CV2D,TrainAcc3D,CV3D
-0.02,0.6470588235294118,0.6654545454545454,0.7843137254901961,0.7636363636363637
-0.04,0.7058823529411765,0.6272727272727272,0.6862745098039216,0.6272727272727272
-0.06,0.7647058823529411,0.7436363636363637,0.7647058823529411,0.7036363636363636
-0.08,0.6666666666666666,0.6636363636363637,0.7647058823529411,0.7418181818181818
-0.10,0.803921568627451,0.7636363636363637,0.8235294117647058,0.7618181818181817
-0.12,0.803921568627451,0.7836363636363636,0.803921568627451,0.8018181818181818
-0.14,0.6274509803921569,0.6054545454545455,0.7254901960784313,0.6836363636363636
-0.16,0.6862745098039216,0.7236363636363636,0.7450980392156863,0.6636363636363636
-0.18,0.6666666666666666,0.6854545454545455,0.7450980392156863,0.6836363636363636
-0.20,0.5882352941176471,0.5672727272727272,0.7843137254901961,0.8018181818181818
-0.22,0.7058823529411765,0.6454545454545454,0.6862745098039216,0.6836363636363636
-0.24,0.6666666666666666,0.6254545454545455,0.7058823529411765,0.6636363636363637
-0.26,0.6470588235294118,0.6254545454545454,0.7058823529411765,0.6854545454545455
-0.28,0.6274509803921569,0.6254545454545455,0.7254901960784313,0.6636363636363637
-0.30,0.6862745098039216,0.6654545454545454,0.7647058823529411,0.7436363636363635
-0.32,0.6470588235294118,0.6054545454545455,0.7450980392156863,0.7036363636363637
-0.34,0.6274509803921569,0.6036363636363637,0.6862745098039216,0.6254545454545455
-0.36,0.6274509803921569,0.5836363636363637,0.6862745098039216,0.6836363636363638
-0.38,0.6470588235294118,0.6236363636363638,0.6862745098039216,0.6254545454545454
-0.40,0.6078431372549019,0.5854545454545456,0.6862745098039216,0.5836363636363636
-0.42,0.6470588235294118,0.6672727272727272,0.6274509803921569,0.5872727272727273
-0.44,0.6078431372549019,0.5709090909090909,0.6274509803921569,0.5309090909090909
-0.46,0.5882352941176471,0.5072727272727272,0.6078431372549019,0.5272727272727272
-0.48,0.6274509803921569,0.5072727272727272,0.6274509803921569,0.4872727272727272
-0.50,0.6470588235294118,0.44909090909090904,0.6470588235294118,0.5072727272727272
-0.52,0.6470588235294118,0.46909090909090906,0.6666666666666666,0.4909090909090909
-0.54,0.6666666666666666,0.509090909090909,0.5490196078431373,0.4727272727272728
-0.56,0.6078431372549019,0.5636363636363636,0.6862745098039216,0.6290909090909091
-0.58,0.6274509803921569,0.5890909090909091,0.7254901960784313,0.7036363636363637
-0.60,0.6078431372549019,0.6236363636363637,0.6470588235294118,0.6436363636363637
-0.62,0.49019607843137253,0.3709090909090909,0.6862745098039216,0.609090909090909
-0.64,0.5490196078431373,0.509090909090909,0.6666666666666666,0.6272727272727272
-0.66,0.6078431372549019,0.5072727272727272,0.6274509803921569,0.5854545454545456
-0.68,0.5882352941176471,0.5854545454545456,0.6666666666666666,0.5854545454545456
-0.70,0.5882352941176471,0.5872727272727273,0.6274509803921569,0.5272727272727272
-0.72,0.5294117647058824,0.3745454545454545,0.6274509803921569,0.5490909090909091
-0.74,0.5882352941176471,0.4490909090909091,0.6470588235294118,0.5654545454545454
-0.76,0.5686274509803921,0.3745454545454545,0.6078431372549019,0.6436363636363637
-0.78,0.7058823529411765,0.6836363636363636,0.7450980392156863,0.6490909090909092
-0.80,0.7254901960784313,0.7018181818181819,0.7450980392156863,0.6509090909090909
-0.82,0.6470588235294118,0.5872727272727273,0.7058823529411765,0.7072727272727273
-0.84,0.6078431372549019,0.5690909090909091,0.6666666666666666,0.6690909090909091
-0.86,0.6666666666666666,0.6072727272727273,0.6078431372549019,0.5272727272727272
-0.88,0.7058823529411765,0.5890909090909091,0.7254901960784313,0.6854545454545455
-0.90,0.6666666666666666,0.5872727272727272,0.7647058823529411,0.6090909090909091
-0.92,0.6078431372549019,0.4909090909090909,0.7450980392156863,0.7272727272727273
