PC1,PC2,PC3,PC4,Features,Time,Event
0.008690093337237744,-0.7198681625254314,-0.6819607483594716,0.12901104044630549,Head Horizontal,-1.00,NoEvent
-0.1703003721155619,-0.681808535085011,0.710442312225657,-0.03750500955865451,Head Vertical,-1.00,NoEvent
-0.6979374247037814,0.03163147784589913,-0.1735875672515059,-0.6940822410225189,Eye Horizontal,-1.00,NoEvent
-0.6955613680567262,0.1261998402406835,-0.00828342876809327,0.7072477418826627,Eye Vertical,-1.00,NoEvent
-0.06726684523814501,-0.7220814638337434,-0.6739160624251718,0.14110518036123992,Head Horizontal,-0.98,NoEvent
-0.23718681456570737,-0.6559659480883968,0.714090559098008,-0.059378138668689476,Head Vertical,-0.98,NoEvent
-0.6888670718839854,0.10565088424547292,-0.1892754019581382,-0.69171877966824,Eye Horizontal,-0.98,NoEvent
-0.6816742211657001,0.19273018755337434,0.009307869038188659,0.7057539901252738,Eye Vertical,-0.98,NoEvent
-0.13109942294027974,-0.7139008414399999,-0.6788546231572252,0.11097265660534332,Head Horizontal,-0.96,NoEvent
-0.2745106916291117,-0.6401768011637936,0.7127395253467518,-0.08258276116409947,Head Vertical,-0.96,NoEvent
-0.6743204838923818,0.18305542756346346,-0.17564733219726172,-0.6934916078329186,Eye Horizontal,-0.96,NoEvent
-0.6728660390368775,0.21681780896068084,0.017515259590816235,0.7070604973478433,Eye Vertical,-0.96,NoEvent
-0.15849158372801722,-0.7072266014066231,-0.6841184666990442,0.08180999738156385,Head Horizontal,-0.94,NoEvent
-0.28340241256199517,-0.6355341228513754,0.7160472521424202,-0.055279145659669564,Head Vertical,-0.94,NoEvent
-0.6703995459196542,0.20349529962934415,-0.1387563818298116,-0.6999291238125365,Eye Horizontal,-0.94,NoEvent
-0.6671790908535334,0.23348784975482978,-0.002218720833683973,0.7073546225356705,Eye Vertical,-0.94,NoEvent
-0.20493813976108488,-0.704535547938578,-0.6733949832626708,0.09038372131540545,Head Horizontal,-0.92,NoEvent
-0.3422776409619242,-0.5986642525050426,0.7196362165146719,-0.08106074975329618,Head Vertical,-0.92,NoEvent
-0.6480652273905154,0.26114422783728564,-0.16928752649149528,-0.6950948760341562,Eye Horizontal,-0.92,NoEvent
-0.6487355674048447,0.2775508362998283,0.0021554051839248354,0.7085923024431422,Eye Vertical,-0.92,NoEvent
-0.26543805751172367,-0.6796305220092458,-0.6783113571702644,0.08682565238267408,Head Horizontal,-0.90,NoEvent
-0.3648716173118773,-0.5857140394575683,0.7184696819130572,-0.08723005808931206,Head Vertical,-0.90,NoEvent
-0.6300175451190909,0.3092195069746625,-0.1523557174066886,-0.6958799643055935,Eye Horizontal,-0.90,NoEvent
-0.6320516065533989,0.31531684706352936,0.021971669920114373,0.7075332489234016,Eye Vertical,-0.90,NoEvent
-0.3246919505103243,-0.6486400128317643,-0.670558401690348,0.15554003005623937,Head Horizontal,-0.88,NoEvent
-0.3922310634000517,-0.5697040110080173,0.708414624872703,-0.14050214237480077,Head Vertical,-0.88,NoEvent
-0.6104943514683494,0.34466555202114085,-0.19677537125290986,-0.6854062717421554,Eye Horizontal,-0.88,NoEvent
-0.606651940574746,0.36865855590905205,0.09889187255398282,0.6973411573216612,Eye Vertical,-0.88,NoEvent
-0.2999431619815742,0.6625900968050813,-0.6664810825777858,0.1637419609088352,Head Horizontal,-0.86,NoEvent
-0.3796167323481445,0.5767059059388971,0.7094384151821188,-0.14141629906201156,Head Vertical,-0.86,NoEvent
-0.6214853013471981,-0.3212727255780399,-0.20767028041080685,-0.6836760275475048,Eye Horizontal,-0.86,NoEvent
-0.6161828107884822,-0.3537916017526222,0.0968150621748634,0.6969771086299724,Eye Vertical,-0.86,NoEvent
-0.3472535468239567,0.6352709039535368,-0.6585521689772348,0.2053165690917757,Head Horizontal,-0.84,NoEvent
-0.39641576893477315,0.565625265153459,0.7063090680201025,-0.1550809401329045,Head Vertical,-0.84,NoEvent
-0.609591365376916,-0.34026501892365685,-0.2192903502251915,-0.6815642496881005,Eye Horizontal,-0.84,NoEvent
-0.5921721705854992,-0.4008973121723555,0.13909810734178388,0.6850293293071275,Eye Vertical,-0.84,NoEvent
-0.43982840764193637,0.5186576720022992,-0.7139088038005624,0.16697128783226076,Head Horizontal,-0.82,NoEvent
-0.37929319080942697,0.6321660972680332,0.6649950100147833,-0.11951710139534498,Head Vertical,-0.82,NoEvent
-0.5836917395593935,-0.3901054013551878,-0.0890560480241946,-0.7065343228137958,Eye Horizontal,-0.82,NoEvent
-0.5674430371472462,-0.4232942482146032,0.20046165923138615,0.6772337131299224,Eye Vertical,-0.82,NoEvent
-0.4335183600742037,0.5228605698505017,-0.7121518111442475,0.1775343737368905,Head Horizontal,-0.80,NoEvent
-0.35859358318888024,0.6469610063359835,0.6483633406755351,-0.18021397516438892,Head Vertical,-0.80,NoEvent
-0.584482154971694,-0.40355536818883164,-0.11367216189432014,-0.6946958434710063,Eye Horizontal,-0.80,NoEvent
-0.5846820367464503,-0.3810529432799554,0.24401519617085246,0.6733514345135134,Eye Vertical,-0.80,NoEvent
-0.4118283507525774,-0.5503558350517808,-0.7023232103854226,0.18506207740858893,Head Horizontal,-0.78,NoEvent
-0.34829136924662785,-0.6414330335812457,0.6623573120512807,-0.16893660559888113,Head Vertical,-0.78,NoEvent
-0.5989515331141727,0.3768730499661555,-0.12724646994142622,-0.6950051086695943,Eye Horizontal,-0.78,NoEvent
-0.5919016747779167,0.37899712725088686,0.2276691353995121,0.673929039081349,Eye Vertical,-0.78,NoEvent
-0.31217764890031613,-0.646591168497597,-0.63623178505327,0.282265995181695,Head Horizontal,-0.76,NoEvent
-0.37230614525711797,-0.5907785832046771,0.6531736541439604,-0.2928019422112594,Head Vertical,-0.76,NoEvent
-0.6138437019736237,0.3404953803879622,-0.32582255836887314,-0.6333233502246192,Eye Horizontal,-0.76,NoEvent
-0.6221970421644365,0.3419991555282597,0.2498258466974888,0.6584029652588652,Eye Vertical,-0.76,NoEvent
-0.25518030714587336,-0.6761251858974284,-0.6246161922903283,0.2959600584011924,Head Horizontal,-0.74,NoEvent
-0.36292121218457385,-0.595453058669382,0.63889592620928,-0.32486280818361357,Head Vertical,-0.74,NoEvent
-0.6229171443858474,0.3125076895915413,-0.3737931553480242,-0.6120390936789134,Eye Horizontal,-0.74,NoEvent
-0.6443178065377352,0.30104705921600006,0.2488880969771067,0.6574799977937839,Eye Vertical,-0.74,NoEvent
-0.38999903004684305,-0.6025356273675087,-0.6099111769524663,0.3359463209261589,Head Horizontal,-0.72,NoEvent
-0.4170403381148595,-0.5585367779304516,0.6343164687276721,-0.33430022671988896,Head Vertical,-0.72,NoEvent
-0.580282610545246,0.3949413775527246,-0.3582014753186908,-0.6156176599765991,Eye Horizontal,-0.72,NoEvent
-0.5807324726983668,0.41110679117313076,0.3119978794941189,0.6296017190225465,Eye Vertical,-0.72,NoEvent
-0.3273128619615704,-0.6638451621331679,-0.5931096204747073,0.31685464996944934,Head Horizontal,-0.70,NoEvent
-0.4150983848547469,-0.5375365607384026,0.6666744707018402,-0.3070715338075656,Head Vertical,-0.70,NoEvent
-0.5992886280382762,0.3420046437594228,-0.38087690229770926,-0.6154825336653282,Eye Horizontal,-0.70,NoEvent
-0.6011761485534061,0.39165912504230965,0.2422785865710604,0.6530631322243772,Eye Vertical,-0.70,NoEvent
-0.32763708427849547,0.6776185659506413,-0.5657485879856866,0.3367722602541429,Head Horizontal,-0.68,NoEvent
-0.4251681564814349,0.514132804499225,0.6768785984542184,-0.31102228377817676,Head Vertical,-0.68,NoEvent
-0.5985488220635541,-0.3270263160669434,-0.4068055434648014,-0.6077025144034892,Eye Horizontal,-0.68,NoEvent
-0.5946640121328984,-0.4117697500016745,0.2372196196632186,0.648496135458339,Eye Vertical,-0.68,NoEvent
-0.35269258125711395,0.6884816671329146,-0.498846821014898,0.39083600948659686,Head Horizontal,-0.66,NoEvent
-0.46053546166996995,0.4563089575761146,0.6652582658575233,-0.37029807383845315,Head Vertical,-0.66,NoEvent
-0.5773201772891776,-0.3289239748512773,-0.48874272871017993,-0.5653680012131536,Eye Horizontal,-0.66,NoEvent
-0.5746446245858526,-0.4578036129452443,0.2640337743632393,0.6248884487685523,Eye Vertical,-0.66,NoEvent
-0.31346250584392304,0.7093768850398885,-0.5220210673452061,0.3549925318213396,Head Horizontal,-0.64,NoEvent
-0.45990425610240393,0.4661911214996247,0.6630336242460189,-0.36268488605538146,Head Vertical,-0.64,NoEvent
-0.5803005235245553,-0.32754521959599026,-0.4829593584436931,-0.5680807069498119,Eye Horizontal,-0.64,NoEvent
-0.5945423744747468,-0.4149269843307869,0.23373206125522708,0.6478613170806482,Eye Vertical,-0.64,NoEvent
-0.3725689185727917,0.6669647489234243,-0.5203899819219947,0.3815031996225467,Head Horizontal,-0.62,NoEvent
-0.4551634467409256,0.4716677170943291,0.6557692132999844,-0.3745965033070448,Head Vertical,-0.62,NoEvent
-0.5710758796798479,-0.3560699086495741,-0.4676286356011122,-0.5730706928189702,Eye Horizontal,-0.62,NoEvent
-0.5726176536855195,-0.45376404496039774,0.2836978406138974,0.6210658173010977,Eye Vertical,-0.62,NoEvent
-0.4134088901899577,0.6426453912584827,-0.4913395772439676,0.4179538376900713,Head Horizontal,-0.60,NoEvent
-0.459650413014626,0.4583069441433565,0.6499493621847989,-0.3952746758407815,Head Vertical,-0.60,NoEvent
-0.5609931927444259,-0.3635233203715673,-0.4838887183071382,-0.5647912371270656,Eye Horizontal,-0.60,NoEvent
-0.5505462968922838,-0.49478524795131135,0.3193790142203572,0.5916784419459489,Eye Vertical,-0.60,NoEvent
-0.39338264373839166,0.6586351364651333,-0.4979174489690977,0.40438603664203704,Head Horizontal,-0.58,NoEvent
-0.45337066161470563,0.4636329841452866,0.6509787447566456,-0.3946215567789501,Head Vertical,-0.58,NoEvent
-0.5659599815506755,-0.3562157468386952,-0.4830753448033201,-0.5651883334168023,Eye Horizontal,-0.58,NoEvent
-0.5651499253079634,-0.4736608013444241,0.3081283809231491,0.6010889352365756,Eye Vertical,-0.58,NoEvent
-0.3769656952416196,0.6669190453244036,-0.510066739620335,0.39108537779833924,Head Horizontal,-0.56,NoEvent
-0.4435432621676892,0.4758062711750859,0.65466259911266,-0.38509044160971045,Head Vertical,-0.56,NoEvent
-0.5734163838806935,-0.3490957934887156,-0.47126742967060836,-0.5720426447366767,Eye Horizontal,-0.56,NoEvent
-0.5765066260623861,-0.45492802316688624,0.29858970542836316,0.6095283354002804,Eye Vertical,-0.56,NoEvent
-0.3724019426014958,0.66911010853675,-0.5078832170621211,0.3945416247079654,Head Horizontal,-0.54,NoEvent
-0.43430807290750595,0.4832391361971642,0.653714825586862,-0.38796051585531993,Head Vertical,-0.54,NoEvent
-0.5779946441930824,-0.34176641898168625,-0.4709158011268146,-0.5721505172501699,Eye Horizontal,-0.54,NoEvent
-0.5819067642140899,-0.4494077377591443,0.3048768159169519,0.6053654517070135,Eye Vertical,-0.54,NoEvent
-0.2806498486175336,-0.7544957729843828,-0.4639225834871958,0.36979403395704,Head Horizontal,-0.52,NoEvent
