PC1,PC2,PC3,PC4,PC5,Features,Time,Event
0.13509929806738327,-0.7512824157424993,-0.5389814629819236,0.35612061723477895,0.0,Head Horizontal,-2.00,NoEvent
0.2561521790833851,0.6073837870398343,-0.7504162912127882,0.048439511500700624,0.0,Head Vertical,-2.00,NoEvent
-0.6660312193562778,-0.14161038657818192,-0.3822885957733227,-0.6246633835896165,0.0,Eye Horizontal,-2.00,NoEvent
-0.6874130167921779,0.21588461142573714,-0.015159221153157154,0.6932729454610681,0.0,Eye Vertical,-2.00,NoEvent
-0.0,-0.0,0.0,-0.0,1.0,Steering,-2.00,NoEvent
0.1675689463086996,-0.7338507125696908,-0.6332579931813984,0.1799113502973547,0.0,Head Horizontal,-1.98,NoEvent
0.2282650844449501,0.6727892089919099,-0.7007019134807204,0.06531890945076735,0.0,Head Vertical,-1.98,NoEvent
-0.668237761706706,-0.041115947465563275,-0.319671479210067,-0.6705057181507617,0.0,Eye Horizontal,-1.98,NoEvent
-0.6879491211459927,0.0844232834531252,-0.07623180370405205,0.7167896679148471,0.0,Eye Vertical,-1.98,NoEvent
0.0,0.0,-0.0,0.0,1.0,Steering,-1.98,NoEvent
0.144701325520002,-0.7303312922652467,-0.6489381174405139,0.15670689092599158,0.0,Head Horizontal,-1.96,NoEvent
0.17880879537239092,0.6817997479178379,-0.7005568007220668,0.11134041224420337,0.0,Head Vertical,-1.96,NoEvent
-0.6757277760675253,-0.0161704780745416,-0.2955088310589242,-0.6751333342798777,0.0,Eye Horizontal,-1.96,NoEvent
-0.7003434255713867,0.03877915569204054,-0.027821205240112702,0.712208708091761,0.0,Eye Vertical,-1.96,NoEvent
0.0,0.0,0.0,-0.0,1.0,Steering,-1.96,NoEvent
0.22070249817517107,-0.5831572643333328,-0.7795831765692677,0.058890433558194656,0.0,Head Horizontal,-1.94,NoEvent
0.06013448007512818,0.8031280750176673,-0.5719967600296127,0.15552763722289456,0.0,Head Vertical,-1.94,NoEvent
-0.681997136570628,0.006317804530843697,-0.24972606069733733,-0.6873695408322688,0.0,Eye Horizontal,-1.94,NoEvent
-0.6946611816668588,-0.12195485033236779,-0.05202568533316507,0.7070121535244126,0.0,Eye Vertical,-1.94,NoEvent
0.0,0.0,-0.0,0.0,1.0,Steering,-1.94,NoEvent
0.2253255079642701,-0.4263787918778538,-0.8651524296787191,0.13762563249058976,0.0,Head Horizontal,-1.92,NoEvent
0.07646614485569427,-0.8804862790715705,0.46372695323717755,0.062081832277837215,0.0,Head Vertical,-1.92,NoEvent
-0.6740883147865024,-0.20387673572817355,-0.18415774021219022,-0.6856567269538429,0.0,Eye Horizontal,-1.92,NoEvent
-0.6992755451321354,-0.0371391280499048,-0.05054219012185254,0.7120954178798893,0.0,Eye Vertical,-1.92,NoEvent
0.0,-0.0,0.0,-0.0,1.0,Steering,-1.92,NoEvent
0.23725313492127528,-0.6342736362759386,-0.7282315574808632,0.10529341377466142,0.0,Head Horizontal,-1.90,NoEvent
-0.010128774073546853,-0.7434752239402278,0.6598855604907135,0.10813439036057355,0.0,Head Vertical,-1.90,NoEvent
-0.6765906451801089,-0.21199309472042424,-0.13583895463859083,-0.691976737360669,0.0,Eye Horizontal,-1.90,NoEvent
-0.6970175440837615,0.0006881156763954357,-0.12560901300284474,0.7059663204351248,0.0,Eye Vertical,-1.90,NoEvent
0.0,-0.0,-0.0,0.0,1.0,Steering,-1.90,NoEvent
0.1933421731094883,-0.6696365175085182,-0.7028042114142379,0.1423796998689622,0.0,Head Horizontal,-1.88,NoEvent
-0.05571099341717706,-0.7140965886826631,0.6883226798898624,0.11477907297714364,0.0,Head Vertical,-1.88,NoEvent
-0.6834309609264948,-0.19455044157935386,-0.1422440794427003,-0.6890855311148718,0.0,Eye Horizontal,-1.88,NoEvent
-0.7017387056140338,0.06166945866573841,-0.10974857917598867,0.7012238703009667,0.0,Eye Vertical,-1.88,NoEvent
0.0,-0.0,-0.0,0.0,1.0,Steering,-1.88,NoEvent
0.14410706771693202,-0.6727957387318563,-0.6971955910384978,0.20123954585210985,0.0,Head Horizontal,-1.86,NoEvent
-0.021976668001044558,-0.6878588590891862,0.7066648719431193,0.16429234552379324,0.0,Head Vertical,-1.86,NoEvent
-0.685680459875702,-0.24441329503601336,-0.10158768620502687,-0.6780740300039468,0.0,Eye Horizontal,-1.86,NoEvent
-0.7131567051092247,0.12024235995030202,-0.06498467980688277,0.6875509291839649,0.0,Eye Vertical,-1.86,NoEvent
-0.0,-0.0,-0.0,-0.0,1.0,Steering,-1.86,NoEvent
-0.32010689171852985,-0.6282524908225662,-0.6266448908843807,0.3318833626110919,0.0,Head Horizontal,-1.84,NoEvent
-0.4524104629042698,-0.4845777198944234,0.7465753741603269,0.055985865484372205,0.0,Head Vertical,-1.84,NoEvent
-0.6770643442848078,0.2130843294042722,-0.22184708321136773,-0.6685527757261378,0.0,Eye Horizontal,-1.84,NoEvent
-0.4841902772952277,0.5701563905802471,0.02693070917148066,0.6631411633708139,0.0,Eye Vertical,-1.84,NoEvent
-0.0,-0.0,-0.0,-0.0,1.0,Steering,-1.84,NoEvent
